pair_id,exchange_id,address,token0_address,token1_address,token0_symbol,token1_symbol,dex_type,base_token_symbol,quote_token_symbol,token0_decimals,token1_decimals,exchange_slug,exchange_address,pair_slug,fee
2697610,3681,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,LINK,WETH,uniswap_v3,LINK,WETH,18,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,link-eth-fee-30,30
2697612,3681,0x60594a405d53811d3bc4766596efd80fd545a270,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DAI,WETH,uniswap_v3,WETH,DAI,18,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-dai-fee-5,5
2697637,3681,0xa80964c5bbd1a0e95777094420555fead1a26c1e,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DAI,WETH,uniswap_v3,WETH,DAI,18,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-dai-fee-100,100
2697647,3681,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,WBTC,USDC,uniswap_v3,WBTC,USDC,8,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,wbtc-usdc-fee-30,30
2697655,3681,0x9db9e0e53058c89e5b94e29621a205198648425b,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xdac17f958d2ee523a2206206994597c13d831ec7,WBTC,USDT,uniswap_v3,WBTC,USDT,8,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,wbtc-usdt-fee-30,30
2697659,3681,0x391e8501b626c623d39474afca6f9e46c2686649,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x6b175474e89094c44da98b954eedeac495271d0f,WBTC,DAI,uniswap_v3,WBTC,DAI,8,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,wbtc-dai-fee-30,30
2697683,3681,0xc5af84701f98fa483ece78af83f11b6c38aca71d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,WETH,USDT,uniswap_v3,WETH,USDT,18,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-usdt-fee-100,100
2697702,3681,0x5d4f3c6fa16908609bac31ff148bd002aa6b8c83,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,LINK,WETH,uniswap_v3,LINK,WETH,18,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,link-eth-fee-5,5
2697706,3681,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WBTC,WETH,uniswap_v3,WETH,WBTC,8,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-wbtc-fee-5,5
2697725,3681,0x3a0f221ea8b150f3d3d27de8928851ab5264bb65,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,LINK,WETH,uniswap_v3,LINK,WETH,18,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,link-eth-fee-100,100
2697737,3681,0x6ab3bba2f41e7eaa262fa5a1a9b3932fa161526f,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WBTC,WETH,uniswap_v3,WETH,WBTC,8,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-wbtc-fee-100,100
2697765,3681,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,WETH,uniswap_v3,WETH,USDC,6,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-usdc-fee-5,5
2697770,3681,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,WETH,USDT,uniswap_v3,WETH,USDT,18,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-usdt-fee-5,5
2697874,3681,0xee4cf3b78a74affa38c6a926282bcd8b5952818d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,uniswap_v3,USDT,USDC,6,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,usdt-usdc-fee-30,30
2699354,3681,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,WBTC,USDC,uniswap_v3,WBTC,USDC,8,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,wbtc-usdc-fee-5,5
2699647,3681,0x56534741cd8b152df6d48adf7ac51f75169a83b2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xdac17f958d2ee523a2206206994597c13d831ec7,WBTC,USDT,uniswap_v3,WBTC,USDT,8,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,wbtc-usdt-fee-5,5
2699650,3681,0xcbfb0745b8489973bf7b334d54fdbd573df7ef3c,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,WBTC,USDC,uniswap_v3,WBTC,USDC,8,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,wbtc-usdc-fee-100,100
2699706,3681,0xa93eb5b410b651514a18724872306f5ce9928dde,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x6b175474e89094c44da98b954eedeac495271d0f,WBTC,DAI,uniswap_v3,WBTC,DAI,8,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,wbtc-dai-fee-5,5
2699707,3681,0x649caaf37f36e67d1129c0fd6c6539d390ca2b82,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x6b175474e89094c44da98b954eedeac495271d0f,WBTC,DAI,uniswap_v3,WBTC,DAI,8,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,wbtc-dai-fee-100,100
2698232,3681,0xa63b490aa077f541c9d64bfc1cc0db2a752157b5,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DAI,USDC,uniswap_v3,DAI,USDC,18,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,dai-usdc-fee-30,30
2698299,3681,0xfad57d2039c21811c8f2b5d5b65308aa99d31559,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,LINK,USDC,uniswap_v3,LINK,USDC,18,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,link-usdc-fee-30,30
2699042,3681,0xac5a2c404ebba22a869998089ac7893ff4e1f0a7,0x514910771af9ca656af840dff83e8264ecf986ca,0xdac17f958d2ee523a2206206994597c13d831ec7,LINK,USDT,uniswap_v3,LINK,USDT,18,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,link-usdt-fee-30,30
2711874,3681,0x5777d92f208679db4b9778590fa3cab3ac9e2168,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DAI,USDC,uniswap_v3,DAI,USDC,18,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,dai-usdc-fee-1,1
2711887,3681,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,uniswap_v3,USDT,USDC,6,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,usdt-usdc-fee-1,1
2711902,3681,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,WETH,uniswap_v3,WETH,USDC,6,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-usdc-fee-1,1
2711936,3681,0x537a0a5654045c52ec45c4c86ed0c1ffe893809d,0x41f7b8b9b897276b7aae926a9016935280b44e97,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,uniswap_v3,USDC,USDC,6,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,usdc-usdc-fee-1,1
2711937,3681,0xe1d74c16203f87644584a1ad3ac34c4f1e8f7e1e,0x1cdd2eab61112697626f7b4bb0e23da4febf7b7c,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,USDT,uniswap_v3,USDT,USDT,6,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,usdt-usdt-fee-1,1
2711960,3681,0xd376814cd28dcb6f30553e5026708ec9d6b9a8dc,0x566957ef80f9fd5526cd2bef8be67035c0b81130,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,uniswap_v3,USDC,USDC,6,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,usdc-usdc-fee-1-2,1
2712010,3681,0xe6ff8b9a37b0fab776134636d9981aa778c4e718,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WBTC,WETH,uniswap_v3,WETH,WBTC,8,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-wbtc-fee-1,1
2712111,3681,0xd8dec118e1215f02e10db846dcbbfe27d477ac19,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DAI,WETH,uniswap_v3,WETH,DAI,18,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,eth-dai-fee-1,1
2713789,3681,0xd73b43c9271d0c02a6bbda814017685448ff36e5,0x41f7b8b9b897276b7aae926a9016935280b44e97,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,uniswap_v3,USDC,USDC,6,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,usdc-usdc-fee-30,30
2714741,3681,0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7,DAI,USDT,uniswap_v3,DAI,USDT,18,6,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,dai-usdt-fee-1,1
